id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
65,Brian,Griffin,brian.griffin.65@gslingacademy.com,male,False,3,True,31,Lawyer,81,98,71,92,74,93,63
66,Natasha,Butler,natasha.butler.66@gslingacademy.com,female,False,5,False,28,Lawyer,85,99,64,78,63,95,91
67,Christopher,Lester,christopher.lester.67@gslingacademy.com,male,False,8,False,31,Lawyer,97,80,60,98,86,83,75
68,Nichole,Harrington,nichole.harrington.68@gslingacademy.com,female,False,6,False,28,Lawyer,72,88,62,60,97,86,64
69,Ashley,Baker,ashley.baker.69@gslingacademy.com,female,False,5,False,29,Lawyer,86,95,95,72,72,80,65
70,Lacey,Norris,lacey.norris.70@gslingacademy.com,female,False,8,False,30,Lawyer,86,98,97,75,83,95,80
71,Kyle,Garcia,kyle.garcia.71@gslingacademy.com,male,False,9,False,34,Lawyer,91,88,79,60,82,96,83
72,Trevor,Stark,trevor.stark.72@gslingacademy.com,male,True,3,False,31,Lawyer,86,92,66,66,100,99,91
73,William,Fleming,william.fleming.73@gslingacademy.com,male,False,1,False,28,Lawyer,72,93,68,62,83,98,67
74,George,Kerr,george.kerr.74@gslingacademy.com,male,True,1,False,34,Lawyer,94,82,83,76,83,93,94
75,Jennifer,Salas,jennifer.salas.75@gslingacademy.com,female,False,6,True,32,Lawyer,78,92,77,100,61,82,61
76,Rebecca,Clark,rebecca.clark.76@gslingacademy.com,female,False,3,False,28,Lawyer,87,99,70,81,62,90,91
77,Robert,Ross,robert.ross.77@gslingacademy.com,male,False,3,False,32,Lawyer,91,92,64,69,82,94,61
78,Katherine,Taylor,katherine.taylor.78@gslingacademy.com,female,False,0,False,33,Lawyer,88,83,62,88,100,83,84
79,Larry,Bruce,larry.bruce.79@gslingacademy.com,male,False,5,False,31,Lawyer,99,81,80,89,75,83,93
80,Ronald,Brewer,ronald.brewer.80@gslingacademy.com,male,False,2,True,28,Lawyer,100,94,76,60,95,90,66
81,Joan,Frederick,joan.frederick.81@gslingacademy.com,female,False,4,False,26,Lawyer,94,91,98,94,88,97,94
82,Jessica,Smith,jessica.smith.82@gslingacademy.com,female,False,1,False,24,Lawyer,88,100,89,87,76,89,85
83,Jesus,Jones,jesus.jones.83@gslingacademy.com,male,False,4,False,31,Lawyer,81,92,97,73,90,90,60
84,Elizabeth,Smith,elizabeth.smith.84@gslingacademy.com,female,False,0,False,29,Lawyer,100,92,67,89,90,83,89
85,Christina,Martinez,christina.martinez.85@gslingacademy.com,female,False,10,False,33,Lawyer,94,89,96,98,61,95,67
86,Kathleen,Simpson,kathleen.simpson.86@gslingacademy.com,female,False,7,False,31,Lawyer,100,94,94,87,65,83,95
87,Calvin,Huynh,calvin.huynh.87@gslingacademy.com,male,False,1,False,33,Lawyer,86,86,64,61,97,97,91
88,Christina,Velasquez,christina.velasquez.88@gslingacademy.com,female,False,1,False,33,Lawyer,94,85,78,66,95,87,95
89,Krista,Myers,krista.myers.89@gslingacademy.com,female,False,3,False,34,Lawyer,72,86,69,81,67,98,72
90,Connor,Mitchell,connor.mitchell.90@gslingacademy.com,male,False,10,False,33,Lawyer,72,80,84,91,96,93,74
91,Michael,Ferguson,michael.ferguson.91@gslingacademy.com,male,False,3,False,26,Lawyer,85,87,85,69,80,99,93
92,Jeremy,Cook,jeremy.cook.92@gslingacademy.com,male,False,2,True,27,Lawyer,83,89,95,70,95,80,70
93,Peter,Peck,peter.peck.93@gslingacademy.com,male,False,2,False,24,Lawyer,96,88,68,95,67,95,75
94,Michael,Vance,michael.vance.94@gslingacademy.com,male,False,4,False,29,Lawyer,71,93,90,89,69,94,79
95,Allison,Hendricks,allison.hendricks.95@gslingacademy.com,female,False,2,False,35,Lawyer,89,90,99,91,94,96,85
96,Daniel,Lee,daniel.lee.96@gslingacademy.com,male,True,1,False,29,Lawyer,90,84,90,81,92,83,69
97,Jeffrey,Conley,jeffrey.conley.97@gslingacademy.com,male,False,0,False,30,Lawyer,80,84,82,69,91,80,96
98,Jennifer,Arnold,jennifer.arnold.98@gslingacademy.com,female,False,1,False,26,Lawyer,90,100,89,69,100,95,94
99,Renee,Smith,renee.smith.99@gslingacademy.com,female,False,0,False,25,Lawyer,87,87,69,71,74,91,74
100,Austin,Sanders,austin.sanders.100@gslingacademy.com,male,False,1,False,24,Lawyer,84,95,87,100,96,92,76
101,Leslie,Mercado,leslie.mercado.101@gslingacademy.com,female,False,5,False,32,Lawyer,81,90,82,80,98,81,91
102,Maria,Perkins,maria.perkins.102@gslingacademy.com,female,False,5,False,35,Lawyer,86,86,100,86,94,87,85
103,Laura,Sanders,laura.sanders.103@gslingacademy.com,female,False,1,False,33,Lawyer,100,82,85,68,97,81,100
104,Karen,Ramsey,karen.ramsey.104@gslingacademy.com,female,False,4,False,31,Lawyer,73,95,78,79,84,89,96
105,Gary,Odonnell,gary.odonnell.105@gslingacademy.com,male,False,1,True,25,Lawyer,76,87,98,88,94,86,64
106,Anthony,Arnold,anthony.arnold.106@gslingacademy.com,male,False,2,False,31,Lawyer,96,83,97,100,85,92,69
107,Deanna,Coleman,deanna.coleman.107@gslingacademy.com,female,False,5,False,29,Lawyer,90,89,70,90,83,82,87
108,Matthew,Bartlett,matthew.bartlett.108@gslingacademy.com,male,False,5,True,27,Lawyer,81,94,61,86,72,97,82
109,Charlotte,Zuniga,charlotte.zuniga.109@gslingacademy.com,female,False,8,False,34,Lawyer,83,94,93,62,92,98,94
110,Christopher,Evans,christopher.evans.110@gslingacademy.com,male,False,5,False,26,Lawyer,77,86,62,85,72,98,90
111,Laura,Barber,laura.barber.111@gslingacademy.com,female,False,2,True,34,Lawyer,97,89,76,61,91,91,70
112,Jon,Mendoza,jon.mendoza.112@gslingacademy.com,male,False,2,False,32,Lawyer,95,95,92,61,63,81,100
113,Eric,Erickson,eric.erickson.113@gslingacademy.com,male,False,4,False,32,Lawyer,87,82,74,77,100,93,65
114,Shane,Lopez,shane.lopez.114@gslingacademy.com,male,False,1,False,29,Lawyer,78,80,72,65,90,99,95
115,Eric,Obrien,eric.obrien.115@gslingacademy.com,male,False,3,False,26,Lawyer,71,92,92,96,81,81,85
116,Kevin,Joyce,kevin.joyce.116@gslingacademy.com,male,True,4,False,27,Lawyer,72,85,92,83,84,96,81
117,Patricia,Phelps,patricia.phelps.117@gslingacademy.com,female,False,4,True,34,Lawyer,87,90,98,90,83,94,84
118,Sydney,Wood,sydney.wood.118@gslingacademy.com,female,False,2,False,27,Lawyer,76,100,94,81,60,85,73
119,Erin,Cannon,erin.cannon.119@gslingacademy.com,female,True,0,False,34,Lawyer,91,85,81,93,100,87,77
120,Amber,Stuart,amber.stuart.120@gslingacademy.com,female,False,4,True,35,Lawyer,98,88,88,89,90,90,90
121,Joseph,Jones,joseph.jones.121@gslingacademy.com,male,False,2,False,35,Lawyer,90,89,96,94,100,88,85
122,Chad,Gomez,chad.gomez.122@gslingacademy.com,male,True,3,False,30,Lawyer,97,88,94,75,66,91,64
123,Renee,Smith,renee.smith.123@gslingacademy.com,female,False,1,False,34,Lawyer,99,81,92,86,65,99,79
124,Joseph,Garcia,joseph.garcia.124@gslingacademy.com,male,False,2,False,34,Lawyer,89,97,77,90,93,87,90
125,Michael,York,michael.york.125@gslingacademy.com,male,False,2,False,27,Lawyer,97,81,71,77,90,86,80
126,Jonathon,Wilson,jonathon.wilson.126@gslingacademy.com,male,False,0,False,27,Lawyer,77,99,94,81,80,87,98
127,Steven,Webster,steven.webster.127@gslingacademy.com,male,False,2,False,26,Lawyer,94,93,92,67,61,85,94
128,Robin,Reeves,robin.reeves.128@gslingacademy.com,female,False,6,False,25,Lawyer,81,82,69,94,88,95,84
129,Michael,Davis,michael.davis.129@gslingacademy.com,male,False,2,False,33,Lawyer,83,91,76,71,82,82,79
130,Christopher,Mcconnell,christopher.mcconnell.130@gslingacademy.com,male,False,2,True,26,Lawyer,73,85,80,64,69,95,64
131,Bridget,Martin,bridget.martin.131@gslingacademy.com,female,False,2,False,32,Lawyer,90,96,95,80,93,95,67
132,Sabrina,Davis,sabrina.davis.132@gslingacademy.com,female,False,7,False,27,Lawyer,88,81,73,70,60,95,68
133,Kyle,Novak,kyle.novak.133@gslingacademy.com,male,False,1,False,35,Lawyer,100,87,85,90,92,99,94
134,Michelle,Lopez,michelle.lopez.134@gslingacademy.com,female,False,2,False,32,Lawyer,72,95,71,74,84,97,66
135,Vicki,Jackson,vicki.jackson.135@gslingacademy.com,female,False,2,True,33,Lawyer,89,89,69,87,69,97,79
136,Allison,Henderson,allison.henderson.136@gslingacademy.com,female,False,3,False,27,Lawyer,87,86,83,80,90,90,61
137,Alison,Palmer,alison.palmer.137@gslingacademy.com,female,False,2,False,30,Lawyer,80,81,96,92,100,91,87
138,Charlotte,Rowe,charlotte.rowe.138@gslingacademy.com,female,False,4,False,27,Lawyer,88,96,79,70,95,90,99
139,Leroy,Romero,leroy.romero.139@gslingacademy.com,male,False,4,True,30,Lawyer,87,97,96,71,77,85,77
140,Cassandra,Weber,cassandra.weber.140@gslingacademy.com,female,False,8,False,26,Lawyer,98,84,100,96,58,87,71
141,Dylan,Willis,dylan.willis.141@gslingacademy.com,male,False,3,True,36,Lawyer,93,86,73,74,76,88,91
142,Steven,Sullivan,steven.sullivan.142@gslingacademy.com,male,False,6,False,23,Lawyer,74,94,94,62,51,90,72
143,Mia,Mcdonald,mia.mcdonald.143@gslingacademy.com,female,False,5,True,32,Lawyer,90,96,87,98,69,91,76
144,Meghan,Allen,meghan.allen.144@gslingacademy.com,female,False,2,False,26,Lawyer,95,92,83,71,72,93,84
145,Tim,Myers,tim.myers.145@gslingacademy.com,male,False,1,True,24,Lawyer,92,89,71,62,90,87,100
146,Eva,Watkins,eva.watkins.146@gslingacademy.com,female,False,3,True,33,Lawyer,77,91,86,79,79,90,90
147,Dolores,Johnson,dolores.johnson.147@gslingacademy.com,female,False,4,False,28,Lawyer,85,81,82,87,64,90,77
148,Michelle,Knox,michelle.knox.148@gslingacademy.com,female,True,4,True,29,Lawyer,97,81,78,84,69,84,60
149,Madelyn,Poole,madelyn.poole.149@gslingacademy.com,female,False,0,True,27,Lawyer,75,94,70,85,88,93,81
150,Jeffery,Miles,jeffery.miles.150@gslingacademy.com,male,False,6,False,29,Lawyer,76,87,81,63,61,90,71
151,Derek,Pena,derek.pena.151@gslingacademy.com,male,False,3,False,30,Lawyer,81,82,69,88,79,100,69
152,Cody,Lester,cody.lester.152@gslingacademy.com,male,False,1,True,33,Lawyer,76,81,91,77,92,92,73
153,Rylee,Miller,rylee.miller.153@gslingacademy.com,female,False,5,False,26,Lawyer,78,90,100,88,80,100,77
154,Francisco,Snyder,francisco.snyder.154@gslingacademy.com,male,False,0,True,25,Lawyer,85,86,87,46,76,81,77
155,Meghan,Dougherty,meghan.dougherty.155@gslingacademy.com,female,False,2,False,32,Lawyer,91,84,76,74,87,81,74
156,Jayden,Gordon,jayden.gordon.156@gslingacademy.com,male,False,0,False,26,Lawyer,87,96,71,64,70,93,87
157,Hailey,Novak,hailey.novak.157@gslingacademy.com,female,True,4,False,32,Lawyer,78,86,84,44,100,93,82
158,John,Patel,john.patel.158@gslingacademy.com,male,False,4,True,33,Lawyer,83,86,81,95,65,84,75
159,Diego,Jimenez,diego.jimenez.159@gslingacademy.com,male,False,5,False,32,Lawyer,99,85,93,80,75,90,56
160,Brayden,Pitts,brayden.pitts.160@gslingacademy.com,male,False,1,False,33,Lawyer,84,80,84,88,76,93,62
161,Earl,Howell,earl.howell.161@gslingacademy.com,male,False,5,True,32,Lawyer,79,91,90,86,100,83,100
162,Melissa,Hodge,melissa.hodge.162@gslingacademy.com,female,False,0,True,29,Lawyer,77,87,90,83,53,89,99
163,Riley,Buck,riley.buck.163@gslingacademy.com,female,False,0,False,26,Lawyer,84,98,81,88,79,91,80
164,Emma,Mccann,emma.mccann.164@gslingacademy.com,female,False,0,False,32,Lawyer,88,86,68,68,60,87,73
165,Taylor,Gallagher,taylor.gallagher.165@gslingacademy.com,female,False,1,False,26,Lawyer,84,95,80,75,69,89,71
166,Alfred,Hood,alfred.hood.166@gslingacademy.com,male,False,1,True,27,Lawyer,76,93,80,82,76,85,79
167,Allison,Bailey,allison.bailey.167@gslingacademy.com,female,False,0,True,27,Lawyer,94,86,88,78,80,100,81
168,Peter,Daniels,peter.daniels.168@gslingacademy.com,male,True,1,False,31,Lawyer,68,93,77,100,89,87,84
169,Nathan,Luna,nathan.luna.169@gslingacademy.com,male,False,1,True,35,Lawyer,93,91,61,87,85,87,91
170,Emma,Watkins,emma.watkins.170@gslingacademy.com,female,False,4,False,23,Lawyer,80,90,88,74,68,92,84
171,Elizabeth,Miranda,elizabeth.miranda.171@gslingacademy.com,female,False,0,True,33,Lawyer,84,97,78,87,87,90,79
172,Jayden,Baxter,jayden.baxter.172@gslingacademy.com,male,False,8,False,31,Lawyer,75,81,67,88,83,91,68
173,Bianca,Munoz,bianca.munoz.173@gslingacademy.com,female,False,1,False,37,Lawyer,91,81,78,72,100,93,70
174,Marissa,Jefferson,marissa.jefferson.174@gslingacademy.com,female,False,3,False,28,Lawyer,83,80,75,73,80,76,82
175,Naomi,Finley,naomi.finley.175@gslingacademy.com,female,False,1,True,32,Lawyer,96,89,82,75,79,87,85
176,Oliver,Juarez,oliver.juarez.176@gslingacademy.com,male,False,3,True,30,Lawyer,66,94,76,71,78,90,58
177,Joan,Boyd,joan.boyd.177@gslingacademy.com,female,False,2,False,23,Lawyer,80,79,83,67,94,81,98
178,Jessie,Rose,jessie.rose.178@gslingacademy.com,male,False,2,True,30,Lawyer,78,79,85,76,95,90,82
179,Harold,Carlson,harold.carlson.179@gslingacademy.com,male,True,5,True,32,Lawyer,87,85,78,97,79,96,86
180,Adam,Cannon,adam.cannon.180@gslingacademy.com,male,False,0,False,32,Lawyer,100,90,75,87,62,88,76
181,Diego,Mccoy,diego.mccoy.181@gslingacademy.com,male,False,5,True,21,Lawyer,90,86,86,75,76,86,75
182,Leroy,Mitchell,leroy.mitchell.182@gslingacademy.com,male,False,9,False,33,Lawyer,80,88,88,80,97,82,98
183,Benjamin,Tanner,benjamin.tanner.183@gslingacademy.com,male,False,0,True,26,Lawyer,82,90,88,78,65,98,62
184,Rafael,Edwards,rafael.edwards.184@gslingacademy.com,male,False,3,True,29,Lawyer,79,90,65,87,100,90,96
185,Nathan,Allen,nathan.allen.185@gslingacademy.com,male,False,4,False,26,Lawyer,82,87,71,90,73,90,78
186,Jaime,Bates,jaime.bates.186@gslingacademy.com,male,True,9,False,30,Lawyer,91,81,92,61,100,86,67
187,Darius,Hanson,darius.hanson.187@gslingacademy.com,male,False,1,False,29,Lawyer,91,84,83,100,75,90,81
188,Lauren,Andrews,lauren.andrews.188@gslingacademy.com,female,False,0,False,31,Lawyer,87,88,73,96,81,91,48
189,Howard,Barnett,howard.barnett.189@gslingacademy.com,male,False,0,False,28,Lawyer,82,96,76,84,77,100,75
190,Alice,Watkins,alice.watkins.190@gslingacademy.com,female,True,2,False,33,Lawyer,85,93,60,82,95,87,86
191,Reed,Mcbride,reed.mcbride.191@gslingacademy.com,male,False,4,True,30,Lawyer,78,93,62,67,85,100,73
192,Courtney,Vargas,courtney.vargas.192@gslingacademy.com,female,False,4,False,28,Lawyer,77,87,67,67,92,98,76
193,Vivian,Woods,vivian.woods.193@gslingacademy.com,female,False,1,True,32,Lawyer,100,94,69,78,100,96,86
194,Eliana,Knox,eliana.knox.194@gslingacademy.com,female,False,0,False,26,Lawyer,80,82,68,59,91,93,73
195,Clara,Kirby,clara.kirby.195@gslingacademy.com,female,False,4,True,28,Lawyer,100,90,77,68,69,98,76
196,Brett,Mccall,brett.mccall.196@gslingacademy.com,male,False,5,False,29,Lawyer,87,87,48,74,89,84,82
197,Darius,Hood,darius.hood.197@gslingacademy.com,male,False,3,True,29,Lawyer,64,88,88,88,100,90,94
198,Benjamin,Fernandez,benjamin.fernandez.198@gslingacademy.com,male,False,0,False,28,Lawyer,100,79,75,50,98,78,91
199,Terri,Farley,terri.farley.199@gslingacademy.com,female,False,4,True,24,Lawyer,81,95,76,66,56,96,92
200,Amelia,Carter,amelia.carter.200@gslingacademy.com,female,True,5,True,28,Lawyer,87,86,81,74,90,100,94
201,Scarlett,Simpson,scarlett.simpson.201@gslingacademy.com,female,False,6,False,24,Lawyer,89,86,88,92,74,96,71
202,Martin,Snyder,martin.snyder.202@gslingacademy.com,male,False,2,False,35,Lawyer,87,97,95,89,64,84,89
203,Ernesto,Huff,ernesto.huff.203@gslingacademy.com,male,True,0,True,24,Lawyer,84,89,72,84,88,83,86
204,Frederick,Rogers,frederick.rogers.204@gslingacademy.com,male,False,8,False,29,Lawyer,77,92,79,77,100,87,66
205,Teresa,Bush,teresa.bush.205@gslingacademy.com,female,False,6,False,33,Lawyer,94,82,72,98,81,82,84
206,Frederick,Oneal,frederick.oneal.206@gslingacademy.com,male,False,1,False,29,Lawyer,96,92,98,89,100,76,100
207,Melanie,Bennett,melanie.bennett.207@gslingacademy.com,female,False,3,False,24,Lawyer,78,92,68,67,98,95,72
208,Gabrielle,Alexander,gabrielle.alexander.208@gslingacademy.com,female,False,1,False,33,Lawyer,85,94,87,81,62,93,84
209,Gerald,Jones,gerald.jones.209@gslingacademy.com,male,False,3,True,33,Lawyer,94,90,76,91,92,95,76
210,Reagan,Lutz,reagan.lutz.210@gslingacademy.com,female,False,8,False,28,Lawyer,72,89,79,98,73,88,76
211,Austin,Romero,austin.romero.211@gslingacademy.com,male,False,2,True,28,Lawyer,91,100,87,66,88,94,82
212,Taylor,Brennan,taylor.brennan.212@gslingacademy.com,female,False,0,True,28,Lawyer,97,79,85,98,91,79,91
213,Maxwell,Baxter,maxwell.baxter.213@gslingacademy.com,male,False,2,True,32,Lawyer,97,90,94,81,83,90,84
214,Paul,Espinoza,paul.espinoza.214@gslingacademy.com,male,False,1,True,34,Lawyer,89,82,97,92,100,87,96
215,Clayton,Rice,clayton.rice.215@gslingacademy.com,male,False,1,False,29,Lawyer,89,89,100,78,62,86,66
216,Kathy,Henderson,kathy.henderson.216@gslingacademy.com,female,False,3,True,20,Lawyer,90,83,89,90,100,94,98
217,Kylie,Moon,kylie.moon.217@gslingacademy.com,female,False,0,True,32,Lawyer,79,94,82,72,100,94,78
218,Graham,Boyd,graham.boyd.218@gslingacademy.com,male,False,3,False,29,Lawyer,83,92,85,94,88,91,94
219,Madelyn,Simpson,madelyn.simpson.219@gslingacademy.com,female,False,3,True,33,Lawyer,88,90,80,51,71,90,72
220,Kristen,Dixon,kristen.dixon.220@gslingacademy.com,female,True,0,False,24,Lawyer,88,88,82,82,86,87,77
221,Danielle,Potter,danielle.potter.221@gslingacademy.com,female,False,1,True,23,Lawyer,88,82,78,75,84,100,62
222,Hunter,Willis,hunter.willis.222@gslingacademy.com,male,False,0,False,26,Lawyer,92,90,75,71,91,88,63
223,Vicki,Romero,vicki.romero.223@gslingacademy.com,female,False,1,True,31,Lawyer,90,93,82,65,75,95,96
224,Carlos,Figueroa,carlos.figueroa.224@gslingacademy.com,male,True,3,False,26,Lawyer,85,84,76,81,100,93,77
225,Kaylee,Reyes,kaylee.reyes.225@gslingacademy.com,female,True,2,False,33,Lawyer,89,77,76,100,88,77,85
226,Jack,Estes,jack.estes.226@gslingacademy.com,male,True,1,True,26,Lawyer,89,99,98,66,71,89,90
227,Emma,Mendoza,emma.mendoza.227@gslingacademy.com,female,False,3,False,31,Lawyer,86,97,81,72,72,91,58
228,Christy,Peterson,christy.peterson.228@gslingacademy.com,female,True,0,True,29,Lawyer,74,95,80,80,72,87,69
229,Francisco,Brown,francisco.brown.229@gslingacademy.com,male,False,0,False,36,Lawyer,81,88,76,77,70,86,84
230,Hector,Herrera,hector.herrera.230@gslingacademy.com,male,False,2,False,32,Lawyer,82,90,86,94,76,96,76
